file_name = data/pg_1.txt | result size = 20649 | Time elapsed: 0.0169213 seconds
file_name = data/pg_2.txt | result size = 27364 | Time elapsed: 0.0201418 seconds
file_name = data/pg_3.txt | result size = 32229 | Time elapsed: 0.0209198 seconds
file_name = data/pg_4.txt | result size = 35714 | Time elapsed: 0.0230581 seconds
file_name = data/pg_5.txt | result size = 40072 | Time elapsed: 0.0249767 seconds
file_name = data/pg_6.txt | result size = 43601 | Time elapsed: 0.0289667 seconds
file_name = data/pg_7.txt | result size = 46512 | Time elapsed: 0.0334649 seconds
file_name = data/pg_8.txt | result size = 49942 | Time elapsed: 0.0376363 seconds
file_name = data/pg_9.txt | result size = 51972 | Time elapsed: 0.0436034 seconds
file_name = data/pg_10.txt | result size = 53773 | Time elapsed: 0.0461831 seconds
file_name = data/pg_11.txt | result size = 55051 | Time elapsed: 0.0534433 seconds
file_name = data/pg_12.txt | result size = 56486 | Time elapsed: 0.0759533 seconds
file_name = data/pg_13.txt | result size = 57435 | Time elapsed: 0.0657251 seconds
file_name = data/pg_14.txt | result size = 58492 | Time elapsed: 0.073601 seconds
file_name = data/pg_15.txt | result size = 59434 | Time elapsed: 0.0787072 seconds
file_name = data/pg_16.txt | result size = 60644 | Time elapsed: 0.0850551 seconds
file_name = data/pg_17.txt | result size = 62078 | Time elapsed: 0.0785643 seconds
file_name = data/pg_18.txt | result size = 63033 | Time elapsed: 0.0825893 seconds
file_name = data/pg_19.txt | result size = 63803 | Time elapsed: 0.086809 seconds
file_name = data/pg_20.txt | result size = 64583 | Time elapsed: 0.104745 seconds
file_name = data/pg_21.txt | result size = 66492 | Time elapsed: 0.114658 seconds
file_name = data/pg_22.txt | result size = 67795 | Time elapsed: 0.104971 seconds
file_name = data/pg_23.txt | result size = 68739 | Time elapsed: 0.109661 seconds
file_name = data/pg_24.txt | result size = 69342 | Time elapsed: 0.136977 seconds
file_name = data/pg_25.txt | result size = 70197 | Time elapsed: 0.16019 seconds
file_name = data/pg_26.txt | result size = 70846 | Time elapsed: 0.181576 seconds
file_name = data/pg_27.txt | result size = 71506 | Time elapsed: 0.165597 seconds
file_name = data/pg_28.txt | result size = 71820 | Time elapsed: 0.138818 seconds
